Task ID, Job ID, BCCT, WCCT, BCRT, WCRT
0, 0, 419, 419, 419, 419
0, 1, 399, 399, 399, 399
0, 2, 74, 74, 74, 74
0, 3, 372, 372, 372, 372
0, 4, 367, 367, 367, 367
0, 5, 1, 1, 1, 1
1, 0, 299, 299, 299, 299
1, 1, 282, 282, 282, 282
1, 2, 5, 5, 5, 5
1, 3, 176, 176, 176, 176
1, 4, 41, 41, 41, 41
1, 5, 1, 1, 1, 1
2, 0, 77, 77, 77, 77
2, 1, 189, 189, 189, 189
2, 2, 152, 152, 152, 152
2, 3, 74, 74, 74, 74
2, 4, 5, 5, 5, 5
